,Current position,Game Name,Current Players,Past position
0,1.0,Counter-Strike 2,703263,1.0
1,2.0,Dota 2,306867,2.0
2,3.0,PUBG: BATTLEGROUNDS,299872,3.0
3,4.0,Slay the Spire 2,163260,4.0
4,5.0,Bongo Cat,142206,5.0
5,6.0,Crimson Desert,101839,6.0
6,7.0,Apex Legends™,101085,7.0
7,8.0,Wallpaper Engine,74313,8.0
8,9.0,FiveM,69891,9.0
9,10.0,Rust,67872,10.0
